#             sqrt(s)             alpha_s           alpha_qed              weight            beam1_px            beam1_py            beam1_pz             beam1_E            beam2_px            beam2_py            beam2_pz             beam2_E           final1_px           final1_py           final1_pz            final1_E           final2_px           final2_py           final2_pz            final2_E
                  90               0.118          0.00729915                   1                   0                   0            -41.3633             41.3633                   0                   0             41.3633             41.3633             6.96808          -0.0776211            -40.7721             41.3633            -6.96808           0.0776211             40.7721             41.3633
                  90               0.118          0.00729915                   1                   0                   0             -42.486              42.486                   0                   0              42.486              42.486            -2.47968             -4.7143            -42.1508              42.486             2.47968              4.7143             42.1508              42.486
                  90               0.118          0.00729915                   1                   0                   0            -48.7911             48.7911                   0                   0             48.7911             48.7911             8.92191            -2.86193             -47.883             48.7911            -8.92191             2.86193              47.883             48.7911
                  90               0.118          0.00729915                   1                   0                   0            -46.6881             46.6881                   0                   0             46.6881             46.6881             37.7584             2.80806            -27.3167             46.6881            -37.7584            -2.80806             27.3167             46.6881
                  90               0.118          0.00729915                   1                   0                   0             -39.957              39.957                   0                   0              39.957              39.957             5.45311            -1.47969            -39.5555              39.957            -5.45311             1.47969             39.5555              39.957
                  90               0.118          0.00729915                   1                   0                   0            -45.1219             45.1219                   0                   0             45.1219             45.1219             8.10636             42.9257             11.2986             45.1219            -8.10636            -42.9257            -11.2986             45.1219
                  90               0.118          0.00729915                   1                   0                   0            -54.4152             54.4152                   0                   0             54.4152             54.4152            -43.6727            -11.9694            -30.1734             54.4152             43.6727             11.9694             30.1734             54.4152
                  90               0.118          0.00729915                   1                   0                   0             -45.519              45.519                   0                   0              45.519              45.519             16.0682            -16.4545            -39.2816              45.519            -16.0682             16.4545             39.2816              45.519
                  90               0.118          0.00729915                   1                   0                   0            -40.3727             40.3727                   0                   0             40.3727             40.3727              3.8448             4.00028            -39.9897             40.3727             -3.8448            -4.00028             39.9897             40.3727
                  90               0.118          0.00729915                   1                   0                   0            -47.6231             47.6231                   0                   0             47.6231             47.6231            -17.7885             16.1763            -41.1079             47.6231             17.7885            -16.1763             41.1079             47.6231
                  90               0.118          0.00729915                   1                   0                   0            -47.3271             47.3271                   0                   0             47.3271             47.3271             -6.6034             5.42075            -46.5496             47.3271              6.6034            -5.42075             46.5496             47.3271
                  90               0.118          0.00729915                   1                   0                   0             -46.492              46.492                   0                   0              46.492              46.492             2.71531            -19.3324            -42.1947              46.492            -2.71531             19.3324             42.1947              46.492
                  90               0.118          0.00729915                   1                   0                   0            -49.8535             49.8535                   0                   0             49.8535             49.8535             18.3182             33.3756            -32.1851             49.8535            -18.3182            -33.3756             32.1851             49.8535
                  90               0.118          0.00729915                   1                   0                   0            -43.0978             43.0978                   0                   0             43.0978             43.0978              6.8356            -6.48196            -42.0557             43.0978             -6.8356             6.48196             42.0557             43.0978
                  90               0.118          0.00729915                   1                   0                   0            -44.3305             44.3305                   0                   0             44.3305             44.3305             2.74152             13.2272            -42.2223             44.3305            -2.74152            -13.2272             42.2223             44.3305
                  90               0.118          0.00729915                   1                   0                   0            -45.6858             45.6858                   0                   0             45.6858             45.6858             24.0372             8.66996            -37.8714             45.6858            -24.0372            -8.66996             37.8714             45.6858
                  90               0.118          0.00729915                   1                   0                   0            -45.5385             45.5385                   0                   0             45.5385             45.5385             -6.7794             6.44126             -44.568             45.5385              6.7794            -6.44126              44.568             45.5385
                  90               0.118          0.00729915                   1                   0                   0            -46.6719             46.6719                   0                   0             46.6719             46.6719            -11.9818            -7.48161            -44.4829             46.6719             11.9818             7.48161             44.4829             46.6719
                  90               0.118          0.00729915                   1                   0                   0            -47.4512             47.4512                   0                   0             47.4512             47.4512             7.00885            -9.25807            -46.0085             47.4512            -7.00885             9.25807             46.0085             47.4512
                  90               0.118          0.00729915                   1                   0                   0            -50.6321             50.6321                   0                   0             50.6321             50.6321           -0.180634            -7.20447            -50.1166             50.6321            0.180634             7.20447             50.1166             50.6321
                  90               0.118          0.00729915                   1                   0                   0            -53.1005             53.1005                   0                   0             53.1005             53.1005            -8.10682             9.47518            -51.6155             53.1005             8.10682            -9.47518             51.6155             53.1005
                  90               0.118          0.00729915                   1                   0                   0            -49.7174             49.7174                   0                   0             49.7174             49.7174            -9.01447            0.332898            -48.8922             49.7174             9.01447           -0.332898             48.8922             49.7174
